city,zpid,zipcode,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms
del valle,83826891,78617,6141.0,1366,2.0,3
austin,29374385,78750,15246.0,3031,3.0,4
austin,29361751,78732,9191.0,1620,2.0,2
austin,145653363,78726,8363.0,2217,2.0,3
austin,83819259,78724,5357.0,1341,2.0,3
austin,29375883,78750,14374.8,2501,2.0,3
austin,83123966,78730,16117.2,4979,6.0,5
austin,145551605,78744,6621.0,2447,2.0,3
austin,241937749,78725,5619.0,1570,2.0,3
del valle,83813891,78617,5662.0,1474,3.0,3
austin,2094300248,78732,14810.4,5059,5.0,4
austin,243334255,78717,8211.0,2244,3.0,4
austin,29372883,78750,13068.0,2693,4.0,4
austin,29359361,78730,10454.0,3569,4.0,4
austin,29344758,78746,32670.0,7413,7.0,5
austin,241930604,78744,8494.0,2629,3.0,4
austin,89552498,78724,8712.0,1704,2.0,3
austin,70337257,78730,19166.4,4044,4.0,4
austin,89548938,78739,13068.0,3938,4.0,4
del valle,70345882,78617,4965.0,1586,2.0,4
austin,29462554,78725,5227.0,1041,2.0,2
austin,2090437934,78737,8712.0,3322,4.0,5
austin,29372882,78750,13068.0,2742,3.0,4
austin,29342256,78746,37461.6,5797,6.0,5
austin,29361741,78732,10236.0,1404,2.0,2
austin,125803744,78725,4617.0,1878,3.0,4
austin,2142047553,78725,6185.0,1300,3.0,3
austin,145551602,78744,6621.0,2440,4.0,4
austin,121655881,78726,11761.2,2640,4.0,4
austin,70352247,78730,22215.6,3571,4.0,4
austin,83123738,78724,131115.6,960,1.0,2
austin,58298859,78750,5445.0,1842,2.0,3
del valle,80096879,78617,6098.0,1442,2.0,3
austin,58300380,78726,7405.0,4048,4.0,4
austin,89661246,78717,6011.0,1651,2.0,3
austin,251032231,78724,5662.0,2029,2.0,4
austin,202153434,78737,14374.8,2677,3.0,4
austin,29395244,78724,6534.0,1227,2.0,4
austin,70352245,78730,20473.2,3475,4.0,4
austin,83832236,78732,10890.0,4117,4.0,5
austin,58298858,78750,8276.0,1857,2.0,3
austin,83819833,78732,20473.2,5353,6.0,5
austin,124720093,78744,6599.0,3251,3.0,3
austin,125330933,78737,10497.0,2582,3.0,4
austin,80095730,78724,5749.0,1767,2.0,3
austin,29358857,78750,5967.0,2042,3.0,4
austin,29361735,78732,9060.0,4094,5.0,5
austin,64434238,78724,4791.0,1080,2.0,3
del valle,70345876,78617,4965.0,1439,3.0,4
austin,83124833,78732,9583.0,3297,4.0,4
austin,70352240,78730,22651.2,4855,5.0,5
austin,29363350,78750,9888.0,2634,3.0,3
austin,64632734,78732,16117.2,2604,3.0,4
austin,125230931,78737,14810.4,3232,4.0,4
austin,70323829,78735,16117.2,3831,4.0,4
austin,111371731,78724,5749.0,1509,2.0,3
austin,29344738,78746,7013.0,2038,3.0,3
del valle,70341872,78617,4748.0,1659,3.0,3
austin,2083228723,78725,6185.0,1308,3.0,3
austin,83822733,78732,9975.0,2934,3.0,4
austin,124719589,78744,6621.0,2477,2.0,3
austin,70352237,78730,25264.8,3490,4.0,4
austin,111372723,78724,4399.0,1197,2.0,3
austin,70331828,78730,48787.2,5369,6.0,5
austin,70352232,78730,26571.6,5216,4.0,5
austin,2090710344,78726,8363.0,2929,3.0,4
austin,120895826,78732,12196.8,3625,5.0,5
austin,58300374,78726,9801.0,4226,4.0,5
austin,29361730,78732,16988.4,1152,2.0,3
austin,29342230,78746,32234.4,5398,7.0,5
austin,29351336,78731,7143.0,2281,3.0,3
del valle,70341866,78617,5140.0,1659,3.0,4
austin,29376374,78726,8712.0,2778,3.0,5
austin,243336223,78717,8276.0,1771,2.0,4
austin,70352228,78730,21780.0,3600,4.0,4
del valle,70342359,78617,6838.0,1485,2.0,4
austin,29336824,78733,14374.8,2623,3.0,3
austin,58300371,78726,7448.0,3450,4.0,4
austin,29363331,78750,33105.6,3804,4.0,6
austin,29344726,78746,9370.0,3419,4.0,4
del valle,64488353,78617,6577.0,1515,2.0,3
austin,251036578,78744,6263.0,2150,2.0,3
austin,83124823,78732,14810.4,4336,4.0,5
del valle,70345852,78617,4399.0,1203,2.0,3
austin,29342225,78746,32234.4,4621,6.0,5
