city,zpid,zipcode,garageSpaces,hasAssociation,yearBuilt,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories
austin,29346897,78733,0,True,1989,43560.0,3675,4.0,5,2
austin,29340866,78733,4,True,1994,137214.0,4016,4.0,4,2
austin,70992331,78717,3,True,2007,11761.2,2868,4.0,4,2
austin,29351415,78731,0,True,1999,14810.4,3427,4.0,3,1
austin,29342397,78733,0,False,1970,32234.4,1686,2.0,4,1
austin,241938219,78744,0,True,2017,6534.0,2289,3.0,4,2
austin,29368420,78750,0,True,1983,12196.8,2269,3.0,4,1
austin,29368500,78726,3,True,1998,10890.0,2698,3.0,4,1
austin,83828324,78732,0,True,2006,102366.0,5555,6.0,4,2
austin,70348860,78730,0,True,2005,28314.0,6038,8.0,5,2
pflugerville,249878946,78660,2,True,2019,9883.0,1865,2.0,4,1
austin,29351414,78731,2,True,1999,14374.8,3994,4.0,4,2
austin,70345711,78725,0,True,2006,4660.0,1986,3.0,5,2
austin,70992322,78717,0,True,2007,8842.0,2471,2.0,3,1
austin,145658498,78724,2,True,2016,5793.0,2526,4.0,3,2
austin,145655717,78744,0,True,2015,4399.0,1772,3.0,3,2
austin,29360913,78750,2,True,1984,7293.0,2294,3.0,3,3
austin,64696895,78735,0,True,2005,11325.6,3533,4.0,4,2
austin,185217321,78717,0,True,2006,7927.0,1837,2.0,3,1
austin,70345708,78725,2,True,2010,4660.0,1378,2.0,3,1
austin,84138980,78737,3,True,2006,16552.8,3854,4.0,4,2
austin,83824836,78724,2,True,2007,5662.0,2573,3.0,4,2
austin,2088560215,78744,3,True,2018,8929.0,2457,3.0,4,1
austin,70352394,78732,0,True,2006,12196.8,2538,3.0,3,1
austin,29462708,78725,1,True,2000,6316.0,1467,3.0,3,2
austin,29344853,78746,2,True,1997,13068.0,3092,4.0,4,2
austin,64640832,78724,2,True,2006,5749.0,1339,2.0,3,1
austin,55299479,78737,3,True,2005,53578.8,3062,4.0,4,1
austin,29375915,78750,0,True,1977,10759.0,2611,3.0,5,1
austin,29344851,78746,0,True,1996,13503.6,3385,4.0,4,2
austin,111371325,78724,2,True,2014,5662.0,1710,2.0,4,1
austin,29461308,78725,0,True,1986,6446.0,1854,3.0,3,2
austin,60138195,78725,2,True,2002,7797.0,1890,2.0,3,1
austin,29370415,78750,2,True,1985,10890.0,1952,2.0,4,2
austin,120895893,78732,3,True,2012,13939.2,4318,4.0,4,2
austin,80094819,78732,3,True,2010,14810.4,4455,5.0,5,2
austin,29471186,78719,0,False,2012,87120.0,1680,2.0,3,1
austin,29459807,78725,0,True,1986,5532.0,1493,2.0,3,1
austin,29372913,78750,0,True,1996,6098.0,3323,4.0,4,2
austin,58297966,78746,2,True,1999,12632.4,2913,2.0,4,2
austin,70992306,78717,0,True,2006,7274.0,1694,2.0,3,1
austin,80106317,78724,0,True,2008,5967.0,1704,2.0,3,1
austin,29459805,78725,0,True,1987,6229.0,1815,3.0,4,2
austin,29375911,78750,4,False,1977,18730.8,3451,3.0,4,2
austin,55299476,78737,0,True,2006,53578.8,3128,3.0,3,1
austin,58298400,78750,2,True,1980,4268.0,1927,3.0,3,2
austin,29342388,78733,2,False,1998,21780.0,2876,3.0,4,1
austin,29375910,78750,0,True,2002,17424.0,2550,3.0,3,1
austin,111372812,78732,0,True,2012,12196.8,4124,4.0,5,2
austin,145658177,78744,0,True,2015,6621.0,1821,2.0,3,1
austin,29464187,78725,0,True,2001,6359.0,1748,3.0,3,2
del valle,80104443,78617,0,True,2009,4356.0,1341,2.0,3,1
austin,70336887,78735,0,True,2006,12632.4,4095,4.0,5,2
austin,29361809,78734,0,True,1981,25700.4,2076,3.0,3,2
austin,29343331,78746,0,True,1984,4791.0,1616,2.0,2,1
austin,89552800,78725,2,True,2010,6194.0,1432,3.0,3,2
del valle,70341938,78617,0,True,2008,6534.0,1491,2.0,3,1
austin,96645484,78733,3,True,2007,43560.0,10611,10.0,6,2
austin,121656827,78730,3,True,2014,20908.8,4323,4.0,4,2
austin,29353897,78731,3,True,1963,18730.8,2160,2.0,3,1
del valle,80102437,78617,0,True,2008,5052.0,1586,2.0,4,1
austin,29372406,78750,0,True,1985,10890.0,2742,3.0,4,2
austin,70330384,78733,0,True,2005,43560.0,6530,7.0,5,2
austin,124149797,78717,0,True,2016,6359.0,1977,2.0,3,1
austin,70345678,78725,0,True,2009,4791.0,1522,2.0,4,1
austin,124845293,78732,0,True,2016,14810.4,5162,5.0,5,2
austin,120896822,78730,2,True,2013,12196.8,3004,4.0,3,3
austin,29395301,78724,2,False,1972,7884.0,1110,2.0,3,1
del valle,70345937,78617,2,True,2005,6011.0,1423,2.0,3,1
austin,58298396,78750,0,True,1980,4268.0,1869,3.0,3,2
austin,58300404,78726,3,True,2000,11325.6,4148,3.0,5,2
austin,60136380,78733,0,True,2001,28314.0,2287,3.0,3,2
austin,29342316,78733,2,True,2002,66211.2,5764,5.0,4,2
austin,111370793,78732,0,True,2011,9888.0,2968,4.0,5,2
