zpid,city,zipcode,latitude,longitude,yearBuilt,latestPrice,latest_salemonth,lotSizeSqFt,livingAreaSqFt,avgSchoolRating,numOfBathrooms,numOfBedrooms
83820449,austin,78732,30.37158966,-97.90799713,2006,769000,2,12196.8,4362,8.666666667,4,4
29370826,austin,78726,30.42425537,-97.86110687,1989,342000,9,11325.6,1540,7,2,3
29360969,austin,78750,30.37984085,-97.79019928,1990,715000,10,30927.6,2463,7,3,3
29375962,austin,78750,30.44031525,-97.7951355,1995,550000,12,13503.6,2454,8.666666667,3,3
243333921,austin,78717,30.4921627,-97.7975769,2016,360000,6,10890,1968,8.333333333,2,3
145657839,austin,78744,30.17695045,-97.69762421,2015,284900,7,5488,1821,3.666666667,2,3
29343949,austin,78732,30.33130264,-97.92613983,1986,279900,5,13068,1848,8.333333333,2,2
69814957,austin,78730,30.34108925,-97.82519531,2007,995000,4,27007.2,3371,7,4,4
29351469,austin,78731,30.35490227,-97.79246521,1983,415000,7,4181,1555,7,2,3
29344952,austin,78733,30.33530045,-97.85971069,1994,585000,10,11761.2,2647,8,3,4
145658835,austin,78744,30.17673874,-97.69423676,2015,279000,6,4399,1914,3.666666667,3,3
70341334,austin,78725,30.22792625,-97.59042358,2005,210000,9,4356,2088,3,3,4
29370820,austin,78726,30.42355919,-97.86049652,1991,369000,11,7840,1861,7,2,3
29392931,austin,78725,30.28269577,-97.66133118,1971,329900,8,9757,1567,3.666666667,2,4
79981874,austin,78725,30.24041939,-97.57878113,2012,205000,6,7927,1344,3,2,3
29377461,austin,78726,30.44839859,-97.81524658,1983,649000,3,50529.6,3227,8.666666667,4,5
29343946,austin,78732,30.33075523,-97.92648315,1982,150000,8,13068,704,8.333333333,1,1
124154920,austin,78717,30.48361015,-97.78970337,2016,599000,8,11761.2,3329,7.666666667,5,4
145658832,austin,78744,30.17754555,-97.69530487,2015,299999,3,6011,2068,3.666666667,3,4
29370806,austin,78726,30.42321587,-97.8588562,2001,499800,8,11761.2,3304,7,4,4
83816428,austin,78724,30.27976036,-97.63027191,2013,238999,5,5749,1670,3.666666667,2,3
29343454,austin,78746,30.33086395,-97.80318451,1983,915000,8,14374.8,2665,9,3,3
29360963,austin,78750,30.37971115,-97.79204559,1985,465000,7,20908.8,2357,7,2.5,3
145658831,austin,78744,30.1770668,-97.69659424,2015,305000,6,5445,1982,3.666666667,3,3
64918941,austin,78730,30.34039116,-97.81853485,2004,1299000,8,54450,5307,7,5,4
246905609,del valle,78617,30.20940018,-97.65110016,2017,289900,6,32670,2100,3,3,4
90240442,austin,78732,30.34282684,-97.914711,2009,379000,7,8232,1943,8.333333333,2,4
120895447,austin,78732,30.3445816,-97.90592957,2012,649900,2,9626,3689,8.333333333,4,4
29375958,austin,78750,30.43920708,-97.79519653,1972,525000,4,13068,3650,8.666666667,4,4
29344947,austin,78733,30.33751106,-97.86039734,1990,714900,6,12196.8,2929,8,3,4
90240441,austin,78732,30.34298134,-97.91455841,2010,474997,5,8276,3348,8.333333333,4,5
89553418,austin,78717,30.49144363,-97.79380035,2009,335000,8,5662,1746,8.333333333,2,3
29344946,austin,78733,30.33727074,-97.86054993,1994,559500,7,12196.8,2066,8,3,3
70338371,austin,78724,30.25345421,-97.57862091,2005,199000,12,6534,1704,2.666666667,3,3
185217414,austin,78717,30.49484062,-97.79741669,2008,379900,2,8276,2960,8.333333333,3,4
29578456,austin,78729,30.45835114,-97.78578186,1997,330000,11,7000,2084,6,3,3
89550945,austin,78733,30.31587219,-97.90125275,2009,1050000,12,19166.4,4743,9.333333333,5,5
29459868,austin,78725,30.24336815,-97.58720398,1987,157000,7,5140,1419,3,2,3
29341439,austin,78746,30.32077026,-97.80978394,2000,1589000,11,33976.8,4637,9,4,4
